city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Ajmer,Rajasthan,Rajasthan,2017,10,,insufficient,23.7,,insufficient,23.3,,insufficient,23.7,,insufficient,23.7,,insufficient,2.8,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,0.0,,insufficient,0.0,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2017,11,77.00848200312988,good,88.8,142.21690590111643,good,87.1,24.782576219512194,good,91.1,45.7124237804878,good,91.1,65.94203076923077,sparse,45.1,3.267760252365931,good,88.1,1.1988496932515338,good,90.6,12.481051829268292,good,91.1,49.783788819875774,good,89.4,5.380108024691358,good,90.0,8.01050925925926,good,90.0,4.283328125,good,88.9,,insufficient,0.0,,insufficient,2.6,1.7620458015267177,good,91.0,198.3287328244275,good,91.0,42.849832317073165,good,91.1,20.454801829268295,good,91.1,0.10930091185410333,good,91.4,759.6471921182266,good,84.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2017,12,56.013152542372886,good,79.3,114.11350328947367,good,81.7,25.434431239388797,good,79.2,40.91514237855947,good,80.2,65.2470450751252,good,80.5,5.060130841121495,good,71.9,1.2378714285714285,good,94.1,26.414278523489934,good,80.1,34.93889438943894,good,81.5,4.009951219512195,good,82.7,5.095121951219512,good,82.7,2.1422299651567944,good,77.2,,insufficient,0.0,,insufficient,0.0,1.9751925820256777,good,94.2,179.8664051355207,good,94.2,48.537920792079206,good,95.0,16.844214992927864,good,95.0,0.00310296191819464,good,95.3,763.1764356435643,good,95.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,1,61.11583198707592,good,83.2,136.55438620689654,good,97.4,29.3678453038674,good,97.3,52.510690607734816,good,97.3,81.6132044198895,good,97.3,8.823888888888888,good,96.8,1.2617189631650751,good,98.5,40.19436464088398,good,97.3,36.83272346368715,good,96.2,3.9045133991537377,good,95.3,4.467136812411847,good,95.3,1.5053623188405796,sparse,27.8,,insufficient,0.0,,insufficient,1.6,2.0758719346049044,good,98.7,187.51730245231604,good,98.7,41.859918809201616,good,99.3,16.542895805142084,good,99.3,0.00020297699594046007,good,99.3,761.0879025710419,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,2,44.694715025906724,good,57.4,117.3574673629243,good,57.0,14.706455331412101,good,51.6,23.330980392156864,good,53.1,37.168280802292266,good,51.9,10.023421052631578,good,56.5,0.9202349869451698,good,57.0,27.580700808625338,good,55.2,52.458647887323934,good,52.8,1.392449567723343,good,51.6,0.5501729106628241,good,51.6,0.6618120805369128,sparse,44.3,,insufficient,0.0,,insufficient,0.0,2.862644628099173,good,54.0,156.02933884297522,good,54.0,35.30699164345403,good,53.4,18.706880222841225,good,53.4,0.0,good,53.6,761.486573816156,good,53.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,3,44.02051948051948,good,82.8,113.56386541471048,good,85.9,,insufficient,0.0,37.67963141025641,good,83.9,,insufficient,0.0,10.50326656394453,good,87.2,0.7395441176470589,good,91.4,35.08890547263682,good,81.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,4,45.687261724659606,good,91.8,104.6138002980626,good,93.2,,insufficient,0.0,29.881664050235482,good,88.5,,insufficient,0.0,8.34175654853621,good,90.1,0.6762100456621004,good,91.2,28.043706624605676,good,88.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,5,52.65019259259259,good,90.7,101.95724533715925,good,93.7,8.898192771084338,sparse,44.6,20.0125258493353,good,91.0,28.217048192771085,sparse,44.6,8.931561604584527,good,93.8,0.5492560801144493,good,94.0,22.123278931750743,good,90.6,73.55620588235294,sparse,45.7,1.3984782608695654,sparse,43.3,2.798136645962733,sparse,43.3,1.556069182389937,sparse,42.7,,insufficient,0.0,,insufficient,0.0,3.3815542521994137,sparse,45.8,207.59114369501467,sparse,45.8,20.24976539589443,sparse,45.8,35.75557184750733,sparse,45.8,0.0,sparse,45.8,751.1162463343109,sparse,45.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,6,60.680318379160646,good,96.0,130.2191853932584,good,98.9,4.79193083573487,good,96.4,17.13263688760807,good,96.4,21.87099423631124,good,96.4,5.816490727532098,good,97.4,0.5255148095909732,good,98.5,21.419625360230548,good,96.4,52.90443197755961,good,99.0,0.7355571428571427,good,97.2,0.9235000000000001,good,97.2,0.7053129548762738,good,95.4,,insufficient,0.0,,insufficient,0.0,4.167656903765691,good,99.6,220.18697350069735,good,99.6,46.19963737796374,good,99.6,32.759079497907955,good,99.6,0.01052924791086351,good,99.7,749.2285913528593,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ajmer,Rajasthan,Rajasthan,2018,7,41.687357723577236,good,99.2,87.04872801082544,good,99.3,4.46392370572207,good,98.7,15.691299589603283,good,98.3,19.166244897959185,good,98.8,4.903540540540541,good,99.5,0.47979811574697173,good,99.9,20.506221009549797,good,98.5,33.369757412398926,good,99.7,0.38542234332425074,good,98.7,0.778133514986376,good,98.7,0.19755991285403052,good,61.7,,insufficient,0.0,,insufficient,0.0,1.518252032520325,good,99.2,237.4802574525745,good,99.2,71.98852150537635,good,100.0,28.538548387096775,good,100.0,0.039583333333333325,good,100.0,748.9607930107526,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
